experimentPhase	block	condition	trialnum	subject	task	noisePercent	leftStreamFlip	rightStreamFlip	rightResponseFirst	word1_0	word1_1	word1_2	word1_3	word1_4	word1_5	word1_6	word1_7	word1_8	word1_9	word1_10	word1_11	word1_12	word1_13	word1_14	word1_15	word1_16	word1_17	Seq1_0	Seq1_1	Seq1_2	Seq1_3	Seq1_4	Seq1_5	Seq1_6	Seq1_7	Seq1_8	Seq1_9	Seq1_10	Seq1_11	Seq1_12	Seq1_13	Seq1_14	Seq1_15	Seq1_16	Seq1_17	word2_0	word2_1	word2_2	word2_3	word2_4	word2_5	word2_6	word2_7	word2_8	word2_9	word2_10	word2_11	word2_12	word2_13	word2_14	word2_15	word2_16	word2_17	Seq2_0	Seq2_1	Seq2_2	Seq2_3	Seq2_4	Seq2_5	Seq2_6	Seq2_7	Seq2_8	Seq2_9	Seq2_10	Seq2_11	Seq2_12	Seq2_13	Seq2_14	Seq2_15	Seq2_16	Seq2_17	timingBlips	file	SOA	letterdurDesired	letterDurFrames	letterdur	side	answer	correct	cueSerialPos	response	SPE	targetSP
main	1	0	0	mbl	T1	0	False	False	False	f	v	m	o	d	g	i	c	s	r	w	q	x	k	l	e	a	p	8	1	13	0	16	5	6	2	9	4	10	7	12	3	15	11	14	17	f	v	m	o	d	g	i	c	s	r	w	q	x	k	l	e	a	p	5	14	9	6	7	1	3	0	12	2	8	10	13	4	11	17	15	16	1	mbl_26Apr2019_12-01.txt	350	300	18	300	left	M	1	7	M	0	7
main	1	0	0	mbl	T1	0	False	False	False	f	v	m	o	d	g	i	c	s	r	w	q	x	k	l	e	a	p	8	1	13	0	16	5	6	2	9	4	10	7	12	3	15	11	14	17	f	v	m	o	d	g	i	c	s	r	w	q	x	k	l	e	a	p	5	14	9	6	7	1	3	0	12	2	8	10	13	4	11	17	15	16	1	mbl_26Apr2019_12-01.txt	350	300	18	300	right	F	0	7	R	-5	7
main	1	0	1	mbl	T1	0	False	False	True	c	w	s	j	t	d	i	m	a	k	b	x	u	p	g	f	n	o	11	13	14	1	8	2	12	4	6	15	9	0	3	10	7	16	17	5	c	w	s	j	t	d	i	m	a	k	b	x	u	p	g	f	n	o	14	7	9	16	10	0	15	5	3	8	13	12	4	17	2	6	11	1	0	mbl_26Apr2019_12-01.txt	350	300	18	300	left	K	1	10	K	0	10
main	1	0	1	mbl	T1	0	False	False	True	c	w	s	j	t	d	i	m	a	k	b	x	u	p	g	f	n	o	11	13	14	1	8	2	12	4	6	15	9	0	3	10	7	16	17	5	c	w	s	j	t	d	i	m	a	k	b	x	u	p	g	f	n	o	14	7	9	16	10	0	15	5	3	8	13	12	4	17	2	6	11	1	0	mbl_26Apr2019_12-01.txt	350	300	18	300	right	P	1	10	P	0	10
main	1	0	2	mbl	T1	0	False	False	False	r	w	p	i	s	o	u	e	k	h	g	t	b	n	q	m	v	x	5	12	16	4	14	1	13	3	7	6	9	0	15	10	8	17	11	2	r	w	p	i	s	o	u	e	k	h	g	t	b	n	q	m	v	x	1	8	7	13	0	3	6	10	16	2	17	15	11	12	5	4	9	14	0	mbl_26Apr2019_12-01.txt	350	300	18	300	left	I	1	7	I	0	7
main	1	0	2	mbl	T1	0	False	False	False	r	w	p	i	s	o	u	e	k	h	g	t	b	n	q	m	v	x	5	12	16	4	14	1	13	3	7	6	9	0	15	10	8	17	11	2	r	w	p	i	s	o	u	e	k	h	g	t	b	n	q	m	v	x	1	8	7	13	0	3	6	10	16	2	17	15	11	12	5	4	9	14	0	mbl_26Apr2019_12-01.txt	350	300	18	300	right	G	0	7	U	-1	7
main	1	0	3	mbl	T1	0	False	False	False	r	u	a	w	p	b	j	m	n	v	h	t	d	y	g	x	s	q	0	4	16	5	15	13	14	7	6	11	12	1	10	17	8	2	9	3	r	u	a	w	p	b	j	m	n	v	h	t	d	y	g	x	s	q	2	8	0	7	4	1	16	15	3	12	5	10	11	6	9	14	17	13	0	mbl_26Apr2019_12-01.txt	350	300	18	300	left	U	1	11	U	0	11
main	1	0	3	mbl	T1	0	False	False	False	r	u	a	w	p	b	j	m	n	v	h	t	d	y	g	x	s	q	0	4	16	5	15	13	14	7	6	11	12	1	10	17	8	2	9	3	r	u	a	w	p	b	j	m	n	v	h	t	d	y	g	x	s	q	2	8	0	7	4	1	16	15	3	12	5	10	11	6	9	14	17	13	0	mbl_26Apr2019_12-01.txt	350	300	18	300	right	H	1	11	H	0	11
main	1	0	4	mbl	T1	0	False	False	False	e	t	o	s	g	j	l	h	m	w	k	r	n	y	x	c	f	a	16	0	10	3	7	12	17	9	14	5	8	6	2	11	4	13	1	15	e	t	o	s	g	j	l	h	m	w	k	r	n	y	x	c	f	a	8	3	7	9	2	14	4	15	1	17	6	10	13	0	5	12	16	11	0	mbl_26Apr2019_12-01.txt	350	300	18	300	left	O	1	12	O	0	12
main	1	0	4	mbl	T1	0	False	False	False	e	t	o	s	g	j	l	h	m	w	k	r	n	y	x	c	f	a	16	0	10	3	7	12	17	9	14	5	8	6	2	11	4	13	1	15	e	t	o	s	g	j	l	h	m	w	k	r	n	y	x	c	f	a	8	3	7	9	2	14	4	15	1	17	6	10	13	0	5	12	16	11	0	mbl_26Apr2019_12-01.txt	350	300	18	300	right	Y	0	12	X	-7	12
main	1	0	5	mbl	T1	0	False	False	False	w	b	x	i	r	l	u	e	g	t	n	z	a	v	y	s	k	c	1	7	13	5	16	4	12	2	8	6	10	14	9	0	3	15	11	17	w	b	x	i	r	l	u	e	g	t	n	z	a	v	y	s	k	c	16	0	12	7	15	17	3	10	11	8	2	6	1	14	4	9	5	13	0	mbl_26Apr2019_12-01.txt	350	300	18	300	left	N	1	10	N	0	10
main	1	0	5	mbl	T1	0	False	False	False	w	b	x	i	r	l	u	e	g	t	n	z	a	v	y	s	k	c	1	7	13	5	16	4	12	2	8	6	10	14	9	0	3	15	11	17	w	b	x	i	r	l	u	e	g	t	n	z	a	v	y	s	k	c	16	0	12	7	15	17	3	10	11	8	2	6	1	14	4	9	5	13	0	mbl_26Apr2019_12-01.txt	350	300	18	300	right	X	1	10	X	0	10
main	1	0	6	mbl	T1	0	False	False	False	e	l	a	b	q	w	r	h	m	z	o	d	n	v	t	c	y	s	2	1	11	14	8	5	6	9	7	15	0	17	4	3	10	12	16	13	e	l	a	b	q	w	r	h	m	z	o	d	n	v	t	c	y	s	6	16	13	8	3	14	12	2	11	10	15	0	9	17	5	4	7	1	0	mbl_26Apr2019_12-01.txt	350	300	18	300	left	R	1	6	R	0	6
main	1	0	6	mbl	T1	0	False	False	False	e	l	a	b	q	w	r	h	m	z	o	d	n	v	t	c	y	s	2	1	11	14	8	5	6	9	7	15	0	17	4	3	10	12	16	13	e	l	a	b	q	w	r	h	m	z	o	d	n	v	t	c	y	s	6	16	13	8	3	14	12	2	11	10	15	0	9	17	5	4	7	1	0	mbl_26Apr2019_12-01.txt	350	300	18	300	right	N	0	6	H	10	6
main	1	0	7	mbl	T1	0	False	False	False	q	x	t	i	a	y	e	l	n	c	v	o	d	j	h	b	p	f	17	5	6	0	10	8	13	12	2	4	9	11	15	7	16	14	1	3	q	x	t	i	a	y	e	l	n	c	v	o	d	j	h	b	p	f	12	7	11	1	8	4	5	2	13	16	17	6	10	15	9	3	14	0	0	mbl_26Apr2019_12-01.txt	350	300	18	300	left	T	1	8	T	0	8
main	1	0	7	mbl	T1	0	False	False	False	q	x	t	i	a	y	e	l	n	c	v	o	d	j	h	b	p	f	17	5	6	0	10	8	13	12	2	4	9	11	15	7	16	14	1	3	q	x	t	i	a	y	e	l	n	c	v	o	d	j	h	b	p	f	12	7	11	1	8	4	5	2	13	16	17	6	10	15	9	3	14	0	0	mbl_26Apr2019_12-01.txt	350	300	18	300	right	J	1	8	J	0	8
main	1	0	8	mbl	T1	0	False	False	False	z	d	r	i	q	c	w	k	y	s	f	x	j	o	g	h	n	t	16	3	5	10	11	12	1	15	0	14	4	6	17	7	13	8	9	2	z	d	r	i	q	c	w	k	y	s	f	x	j	o	g	h	n	t	8	9	4	1	3	16	5	14	17	12	7	11	10	13	2	0	6	15	0	mbl_26Apr2019_12-01.txt	350	300	18	300	left	Z	1	8	Z	0	8
main	1	0	8	mbl	T1	0	False	False	False	z	d	r	i	q	c	w	k	y	s	f	x	j	o	g	h	n	t	16	3	5	10	11	12	1	15	0	14	4	6	17	7	13	8	9	2	z	d	r	i	q	c	w	k	y	s	f	x	j	o	g	h	n	t	8	9	4	1	3	16	5	14	17	12	7	11	10	13	2	0	6	15	0	mbl_26Apr2019_12-01.txt	350	300	18	300	right	T	0	8	I	-4	8
main	1	0	9	mbl	T1	0	False	False	False	k	a	n	i	q	c	w	j	x	t	e	v	s	l	u	m	b	o	9	5	15	3	10	6	2	0	16	7	11	8	17	13	12	14	1	4	k	a	n	i	q	c	w	j	x	t	e	v	s	l	u	m	b	o	11	16	5	8	0	1	2	12	4	6	7	14	3	15	13	10	9	17	0	mbl_26Apr2019_12-01.txt	350	300	18	300	left	W	1	5	W	0	5
main	1	0	9	mbl	T1	0	False	False	False	k	a	n	i	q	c	w	j	x	t	e	v	s	l	u	m	b	o	9	5	15	3	10	6	2	0	16	7	11	8	17	13	12	14	1	4	k	a	n	i	q	c	w	j	x	t	e	v	s	l	u	m	b	o	11	16	5	8	0	1	2	12	4	6	7	14	3	15	13	10	9	17	0	mbl_26Apr2019_12-01.txt	350	300	18	300	right	A	0	5	H	11	5
main	1	0	10	mbl	T1	0	False	False	True	t	k	e	j	s	y	v	h	d	a	x	z	f	w	l	p	u	b	16	8	6	11	0	17	15	1	3	7	5	4	12	10	14	9	13	2	t	k	e	j	s	y	v	h	d	a	x	z	f	w	l	p	u	b	14	13	9	0	3	4	12	1	5	17	8	15	16	11	7	10	6	2	0	mbl_26Apr2019_12-01.txt	350	300	18	300	left	K	0	7	H	2	7
